연도,시도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 ,
2024,서울특별시,성동구,산업용," 76,191,849 "," 73,205,407 "," 69,353,155 "," 68,304,771 "," 66,910,331 "," 69,866,915 "," 75,820,962 "," 85,710,260 "," 83,234,917 "," 69,470,182 "," 68,532,988 "," 71,663,084 ",
2024,서울특별시,성동구,농사용," 6,407 "," 6,534 "," 7,617 "," 8,750 "," 7,577 "," 7,934 "," 8,496 "," 10,427 "," 11,262 "," 8,884 "," 5,727 "," 6,810 ",
2024,서울특별시,성동구,가로등," 939,534 "," 884,464 "," 824,831 "," 758,989 "," 704,112 "," 667,455 "," 645,556 "," 686,893 "," 751,219 "," 814,451 "," 882,048 "," 946,201 ",
2024,서울특별시,성동구,심 야," 336,258 "," 328,562 "," 253,114 "," 163,466 "," 70,986 "," 126,546 "," 174,627 "," 223,798 "," 209,334 "," 107,021 "," 89,846 "," 225,508 ",
2024,서울특별시,성동구,합 계," 205,126,976 "," 193,948,067 "," 174,771,994 "," 166,513,753 "," 160,542,271 "," 175,419,782 "," 201,407,499 "," 236,232,235 "," 229,130,224 "," 177,214,340 "," 164,944,897 "," 183,426,710 ",
2024,서울특별시,동대문구,주택용," 49,682,684 "," 48,390,837 "," 43,231,903 "," 43,053,217 "," 40,157,939 "," 44,056,800 "," 53,898,246 "," 71,225,861 "," 71,750,308 "," 50,630,771 "," 42,565,847 "," 45,350,791 ",
2024,서울특별시,동대문구,일반용," 63,519,638 "," 61,207,836 "," 51,321,356 "," 47,123,628 "," 44,012,735 "," 50,357,365 "," 59,284,352 "," 68,527,503 "," 66,970,396 "," 50,389,472 "," 44,873,382 "," 52,428,537 ",
2024,서울특별시,동대문구,교육용," 10,699,457 "," 9,248,341 "," 8,504,776 "," 7,272,156 "," 6,572,119 "," 7,471,548 "," 8,579,246 "," 9,056,276 "," 9,198,030 "," 7,014,100 "," 7,111,416 "," 9,677,484 ",
2024,서울특별시,동대문구,산업용," 14,846,537 "," 14,467,736 "," 12,817,121 "," 12,364,803 "," 11,704,596 "," 12,490,121 "," 14,357,318 "," 15,751,747 "," 15,538,978 "," 11,966,005 "," 11,619,450 "," 12,885,658 ",
2024,서울특별시,동대문구,농사용," 22,079 "," 21,651 "," 18,527 "," 16,173 "," 14,442 "," 15,657 "," 15,480 "," 16,680 "," 14,882 "," 11,458 "," 12,969 "," 14,963 ",
2024,서울특별시,동대문구,가로등," 870,200 "," 809,606 "," 752,246 "," 683,744 "," 624,097 "," 588,636 "," 571,462 "," 606,976 "," 660,009 "," 728,465 "," 795,596 "," 849,073 ",
2024,서울특별시,동대문구,심 야," 624,324 "," 539,423 "," 443,090 "," 363,815 "," 376,393 "," 679,167 "," 917,077 "," 807,429 "," 571,458 "," 270,457 "," 226,772 "," 411,639 ",
2024,서울특별시,동대문구,합 계," 140,264,919 "," 134,685,430 "," 117,089,019 "," 110,877,536 "," 103,462,321 "," 115,659,294 "," 137,623,181 "," 165,992,472 "," 164,704,061 "," 121,010,728 "," 107,205,432 "," 121,618,145 ",
2024,서울특별시,성북구,주택용," 56,311,523 "," 55,190,214 "," 49,448,381 "," 49,387,041 "," 45,581,558 "," 48,969,648 "," 58,675,315 "," 79,144,006 "," 79,974,018 "," 56,055,710 "," 48,332,488 "," 50,959,008 ",
2024,서울특별시,성북구,일반용," 54,128,158 "," 51,309,921 "," 43,744,241 "," 40,644,894 "," 38,345,464 "," 43,580,201 "," 50,325,584 "," 58,164,067 "," 56,412,220 "," 43,363,486 "," 38,907,336 "," 45,286,181 ",
2024,서울특별시,성북구,교육용," 18,971,877 "," 16,360,317 "," 15,360,949 "," 13,370,643 "," 12,218,015 "," 15,001,198 "," 16,359,524 "," 17,646,621 "," 17,750,532 "," 13,370,918 "," 13,526,760 "," 18,461,332 ",
2024,서울특별시,성북구,산업용," 8,697,575 "," 8,273,035 "," 7,815,783 "," 7,566,316 "," 7,667,239 "," 8,180,703 "," 8,948,704 "," 9,431,182 "," 8,818,854 "," 7,366,464 "," 7,197,827 "," 7,938,086 ",
2024,서울특별시,성북구,농사용," 1,224 "," 1,287 "," 1,244 "," 1,259 "," 1,312 "," 1,322 "," 1,876 "," 2,074 "," 1,922 "," 1,452 ", 956 , 991 ,
2024,서울특별시,성북구,가로등," 1,167,569 "," 1,078,445 "," 999,428 "," 935,007 "," 865,739 "," 820,963 "," 816,870 "," 881,631 "," 957,308 "," 1,043,430 "," 1,126,215 "," 1,168,873 ",
2024,서울특별시,성북구,심 야," 1,696,194 "," 1,615,559 "," 1,338,204 "," 911,902 "," 555,047 "," 741,676 "," 900,631 "," 1,043,058 "," 751,847 "," 393,313 "," 572,164 "," 1,192,078 ",
2024,서울특별시,성북구,합 계," 140,974,120 "," 133,828,778 "," 118,708,230 "," 112,817,062 "," 105,234,374 "," 117,295,711 "," 136,028,504 "," 166,312,639 "," 164,666,701 "," 121,594,773 "," 109,663,746 "," 125,006,549 ",
2024,서울특별시,도봉구,주택용," 39,072,623 "," 38,089,495 "," 34,169,656 "," 33,708,186 "," 31,238,881 "," 34,067,684 "," 40,897,357 "," 56,061,600 "," 51,429,473 "," 35,968,870 "," 33,361,666 "," 35,659,617 ",
2024,서울특별시,도봉구,일반용," 35,258,202 "," 33,291,437 "," 28,233,438 "," 25,896,501 "," 24,523,996 "," 27,919,408 "," 32,747,949 "," 38,134,844 "," 36,740,966 "," 27,723,025 "," 25,427,692 "," 30,385,979 ",
2024,서울특별시,도봉구,교육용," 4,345,029 "," 3,674,586 "," 2,988,511 "," 2,755,290 "," 1,700,031 "," 2,013,085 "," 2,628,749 "," 2,460,230 "," 2,942,347 "," 2,089,174 "," 1,972,806 "," 3,503,939 ",
2024,서울특별시,도봉구,산업용," 4,559,304 "," 4,431,747 "," 3,982,842 "," 4,133,785 "," 3,915,392 "," 4,051,063 "," 4,431,503 "," 4,654,778 "," 4,704,409 "," 3,876,618 "," 3,916,062 "," 3,984,742 ",
2024,서울특별시,도봉구,농사용," 31,633 "," 31,747 "," 26,818 "," 26,082 "," 23,220 "," 23,685 "," 25,701 "," 28,091 "," 33,330 "," 24,474 "," 22,425 "," 23,514 ",
2024,서울특별시,도봉구,가로등," 626,574 "," 595,973 "," 549,682 "," 526,756 "," 487,626 "," 476,067 "," 471,774 "," 495,042 "," 532,870 "," 571,761 "," 614,983 "," 640,655 ",
2024,서울특별시,도봉구,심 야," 405,155 "," 392,000 "," 303,986 "," 220,405 "," 142,725 "," 199,485 "," 249,997 "," 254,215 "," 192,771 "," 54,668 "," 115,501 "," 247,091 ",
2024,서울특별시,도봉구,합 계," 84,298,520 "," 80,506,985 "," 70,254,933 "," 67,267,005 "," 62,031,871 "," 68,750,477 "," 81,453,030 "," 102,088,800 "," 96,576,166 "," 70,308,590 "," 65,431,135 "," 74,445,537 ",
2024,서울특별시,은평구,주택용," 61,061,197 "," 59,388,258 "," 53,803,892 "," 52,596,248 "," 49,485,224 "," 53,527,979 "," 65,188,282 "," 88,756,051 "," 83,309,824 "," 58,413,349 "," 51,774,072 "," 55,439,312 ",
2024,서울특별시,은평구,일반용," 53,846,644 "," 51,695,521 "," 43,889,904 "," 41,082,397 "," 38,802,969 "," 43,936,067 "," 50,912,383 "," 59,479,626 "," 57,797,829 "," 44,385,866 "," 40,041,025 "," 46,322,769 ",
2024,서울특별시,은평구,교육용," 5,111,465 "," 4,494,346 "," 3,805,158 "," 3,149,606 "," 2,077,476 "," 2,578,613 "," 3,324,760 "," 3,000,587 "," 3,907,537 "," 2,484,668 "," 2,521,995 "," 4,577,687 ",
2024,서울특별시,은평구,산업용," 17,080,530 "," 16,677,558 "," 15,749,365 "," 15,598,420 "," 14,898,608 "," 15,766,718 "," 17,154,490 "," 20,381,188 "," 19,588,256 "," 16,042,260 "," 15,931,724 "," 16,913,555 ",
2024,서울특별시,은평구,농사용," 17,643 "," 16,814 "," 17,003 "," 16,698 "," 14,884 "," 15,950 "," 16,039 "," 21,093 "," 22,693 "," 18,795 "," 18,578 "," 17,017 ",
2024,서울특별시,은평구,가로등," 743,002 "," 696,202 "," 638,286 "," 580,716 "," 525,382 "," 495,782 "," 500,123 "," 541,389 "," 570,926 "," 637,646 "," 696,916 "," 724,672 ",
2024,서울특별시,은평구,심 야," 985,998 "," 946,552 "," 690,983 "," 487,115 "," 365,807 "," 495,680 "," 721,443 "," 934,491 "," 689,067 "," 525,348 "," 610,267 "," 664,746 ",
2024,서울특별시,은평구,합 계," 138,846,479 "," 133,915,251 "," 118,594,591 "," 113,511,200 "," 106,170,350 "," 116,816,789 "," 137,817,520 "," 173,114,425 "," 165,886,132 "," 122,507,932 "," 111,594,577 "," 124,659,758 ",
2024,서울특별시,서대문구,주택용," 42,122,494 "," 40,314,633 "," 36,791,709 "," 35,790,345 "," 33,990,976 "," 37,587,107 "," 46,548,352 "," 62,600,655 "," 55,990,529 "," 39,114,356 "," 35,518,566 "," 38,467,837 ",
2024,서울특별시,서대문구,일반용," 55,799,737 "," 51,795,541 "," 46,220,727 "," 43,066,242 "," 42,809,223 "," 48,695,152 "," 56,786,632 "," 64,602,789 "," 60,059,360 "," 46,652,896 "," 42,283,187 "," 49,165,118 ",
2024,서울특별시,서대문구,교육용," 19,594,387 "," 16,285,909 "," 16,327,636 "," 13,612,841 "," 13,810,091 "," 16,092,871 "," 18,442,004 "," 18,372,287 "," 17,281,687 "," 13,821,750 "," 14,226,656 "," 18,812,697 ",
2024,서울특별시,서대문구,산업용," 2,783,865 "," 2,676,614 "," 2,552,462 "," 2,616,778 "," 2,526,293 "," 2,654,797 "," 2,786,806 "," 2,905,228 "," 2,817,456 "," 2,549,184 "," 2,466,197 "," 2,595,943 ",
2024,서울특별시,서대문구,농사용," 4,774 "," 5,119 "," 2,905 "," 2,515 "," 3,112 "," 4,209 "," 4,516 "," 5,035 "," 4,937 "," 4,203 "," 6,370 "," 4,416 ",
2024,서울특별시,서대문구,가로등," 733,198 "," 682,718 "," 626,858 "," 576,257 "," 523,274 "," 476,796 "," 473,049 "," 521,473 "," 559,338 "," 620,553 "," 665,241 "," 709,396 ",
2024,서울특별시,서대문구,심 야," 519,107 "," 477,728 "," 373,936 "," 345,147 "," 338,099 "," 440,767 "," 685,290 "," 961,547 "," 637,884 "," 302,828 "," 218,063 "," 370,426 ",
